"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","ICMP Type","Length","Flags"
"270","27.126745","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"271","27.126767","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"272","27.126992","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"273","27.127017","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"274","27.127120","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"275","27.127143","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"276","27.127368","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"277","27.127392","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"278","27.127744","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"279","27.127775","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"280","27.127871","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"281","27.127895","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"282","27.128117","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"283","27.128142","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"284","27.129627","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"285","27.129667","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"286","27.129707","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"287","27.129737","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"288","27.129874","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"289","27.129899","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"290","27.129997","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"291","27.130021","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"292","27.130120","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"293","27.130144","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"294","27.130245","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"295","27.130268","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"296","27.130370","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1150","0x018"
"297","27.130405","34.120.5.221","192.168.42.42","443","51931","TCP","","54","0x010"
"298","27.130894","192.168.42.42","34.120.5.221","51931","443","TLSv1.3","","93","0x018"
"299","27.141268","34.117.237.239","192.168.42.42","443","51932","TCP","","54","0x010"
"300","27.141373","54.187.174.239","192.168.42.42","443","51939","TCP","","66","0x012"
"301","27.141450","192.168.42.42","54.187.174.239","51939","443","TCP","","54","0x010"
"302","27.142743","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","100","0x018"
"303","27.142768","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"304","27.142802","34.160.144.191","192.168.42.42","443","51933","TCP","","100","0x018"
"305","27.142820","192.168.42.42","34.160.144.191","51933","443","TCP","","66","0x010"
