"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","ICMP Type","Flags"
"283","17.755208","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","214","","0x018"
"284","17.755330","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"285","17.755351","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"286","17.756839","142.250.182.246","192.168.42.224","443","62098","TCP","1424","","0x010"
"287","17.756953","142.250.182.246","192.168.42.224","443","62098","TLSv1.3","695","","0x018"
"288","17.756977","192.168.42.224","142.250.182.246","62098","443","TCP","54","","0x010"
"289","17.758085","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","972","","0x018"
"290","17.758204","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","117","","0x018"
"291","17.758225","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"292","17.758330","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","93","","0x018"
"293","17.761732","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","93","","0x018"
"294","17.776350","192.168.42.224","142.250.182.246","62098","443","TLSv1.3","118","","0x018"
"295","17.777343","192.168.42.224","142.250.182.246","62098","443","TLSv1.3","224","","0x018"
"296","17.777409","192.168.42.224","142.250.182.246","62098","443","TLSv1.3","316","","0x018"
"297","17.812028","142.250.192.74","192.168.42.224","443","58265","QUIC","1399","",""
"298","17.814608","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"299","17.814711","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"300","17.815136","192.168.42.224","142.250.192.74","58265","443","QUIC","82","",""
"301","17.849779","142.250.182.246","192.168.42.224","443","62098","TCP","54","","0x010"
"302","17.849915","142.250.182.246","192.168.42.224","443","62098","TLSv1.3","668","","0x018"
"303","17.855288","192.168.42.224","142.250.182.246","62098","443","TLSv1.3","85","","0x018"
"304","17.858223","142.250.182.246","192.168.42.224","443","62098","TCP","54","","0x010"
"305","17.860713","142.250.182.246","192.168.42.224","443","62098","TLSv1.3","219","","0x018"
"306","17.861081","192.168.42.224","142.250.182.246","62098","443","TLSv1.3","93","","0x018"
"307","17.870012","142.250.192.74","192.168.42.224","443","58265","QUIC","1399","",""
"308","17.870183","142.250.192.74","192.168.42.224","443","58265","QUIC","1399","",""
"309","17.871390","192.168.42.224","142.250.192.74","58265","443","QUIC","84","",""
"310","17.871709","142.250.192.74","192.168.42.224","443","58265","QUIC","1399","",""
"311","17.871880","192.168.42.224","142.250.192.74","58265","443","QUIC","84","",""
"312","17.871959","142.250.192.74","192.168.42.224","443","58265","QUIC","920","",""
"313","17.879069","192.168.42.224","142.250.192.74","58265","443","QUIC","85","",""
"314","17.881855","142.250.192.74","192.168.42.224","443","58265","QUIC","1399","",""
"315","17.881932","142.250.192.74","192.168.42.224","443","58265","QUIC","157","",""
"316","17.882395","192.168.42.224","142.250.192.74","58265","443","QUIC","86","",""
"317","17.892635","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","200","","0x018"
"318","17.892729","192.168.42.224","142.250.192.74","58265","443","QUIC","152","",""
"319","17.892839","192.168.42.224","142.250.192.74","58265","443","QUIC","109","",""
"320","17.894598","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1307","","0x018"
"321","17.894636","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"322","17.894728","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","86","","0x018"
"323","17.894756","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","85","","0x018"
"324","17.894772","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"325","17.895081","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","93","","0x018"
"326","17.895202","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","93","","0x018"
"327","17.934922","142.250.182.246","192.168.42.224","443","62098","TCP","54","","0x010"
